carat,clarity,color,cut,depth,table,x,y,z,class,volume
1.0,3,1,2,62.6,60.0,6.35,6.4,3.99,"(5000, 10000]",162.15360036854742
2.04,0,5,3,61.1,61.0,8.25,8.12,5.0,"(5000, 10000]",334.94999527931213
0.41,5,1,4,61.6,56.0,4.8,4.78,2.95,"[0, 5000]",67.68480675449392
0.54,2,4,2,61.6,56.0,5.21,5.24,3.22,"[0, 5000]",87.90728558494943
0.32,3,4,3,59.5,58.0,4.47,4.5,2.67,"[0, 5000]",53.70704901380532
0.86,2,1,3,61.9,61.0,6.07,5.99,3.73,"[0, 5000]",135.62018834674058
1.25,3,4,3,60.4,59.0,6.96,6.92,4.19,"(5000, 10000]",201.80381408689885
0.97,2,2,3,62.7,59.0,6.28,6.31,3.95,"[0, 5000]",156.52586569951058
0.7,1,0,2,63.1,58.0,5.63,5.57,3.53,"[0, 5000]",110.6976277645388
0.3,2,0,2,62.6,59.0,4.24,4.26,2.66,"[0, 5000]",48.045985538131575
0.42,3,6,4,62.0,55.0,4.81,4.87,3.0,"[0, 5000]",70.27409751262667
1.01,3,3,3,62.4,58.0,6.38,6.41,3.99,"(5000, 10000]",163.1742414326343
1.01,5,6,2,62.2,56.0,6.37,6.42,3.98,"[0, 5000]",162.76369179011914
0.39,3,0,3,60.2,59.0,4.76,4.74,2.86,"[0, 5000]",64.52846162001785
0.7,3,0,3,60.9,57.0,5.71,5.69,3.47,"[0, 5000]",112.7399558164778
0.65,2,2,1,58.1,61.0,5.66,5.74,3.31,"[0, 5000]",107.53659495391106
0.73,2,3,4,61.4,58.0,5.77,5.79,3.55,"[0, 5000]",118.59946223353865
1.2,3,4,1,62.6,56.0,6.73,6.76,4.22,"(5000, 10000]",191.98805349930538
0.7,4,3,4,60.6,57.0,5.7,5.75,3.47,"[0, 5000]",113.72924713206288
1.01,1,2,1,63.9,54.0,6.33,6.44,4.08,"[0, 5000]",166.32201236302186
2.02,1,0,2,60.6,57.0,8.19,8.25,4.98,15000+,336.48613404879563
0.47,6,5,4,61.0,56.0,5.02,5.04,3.07,"[0, 5000]",77.67345342797091
0.62,4,2,4,62.3,56.0,5.43,5.46,3.39,"[0, 5000]",100.50604263502683
0.44,5,1,4,60.7,57.0,4.92,4.9,2.98,"[0, 5000]",71.84184297210697
0.61,3,1,4,59.7,57.0,5.57,5.52,3.31,"[0, 5000]",101.77058502548402
0.34,7,2,4,60.7,57.0,4.5,4.53,2.74,"[0, 5000]",55.85490278134347
0.84,4,3,1,63.6,57.0,5.98,5.93,3.79,"[0, 5000]",134.39870118535808
0.5,3,3,0,65.7,57.0,4.97,4.9,3.24,"[0, 5000]",78.90371843701355
0.27,3,1,2,61.3,58.0,4.13,4.16,2.54,"[0, 5000]",43.639230953155476
0.33,6,3,3,60.9,60.0,4.46,4.5,2.73,"[0, 5000]",54.79110085144043
0.52,7,2,4,60.6,57.0,5.21,5.22,3.16,"[0, 5000]",85.93999150930966
0.8,1,3,1,63.7,58.0,5.88,5.83,3.73,"[0, 5000]",127.86589346915814
2.14,1,4,4,63.0,55.0,8.25,8.23,5.19,"(10000, 15000]",352.3880092848299
0.5,6,0,3,61.5,58.0,5.12,5.06,3.13,"[0, 5000]",81.08953623535912
0.71,2,4,2,61.2,56.0,5.69,5.72,3.49,"[0, 5000]",113.58832928627581
1.21,1,2,2,61.5,61.0,6.77,6.82,4.18,"(5000, 10000]",192.99644838819103
0.5,4,3,3,59.8,58.0,5.19,5.15,3.09,"[0, 5000]",82.59106514586921
0.36,3,0,4,60.0,56.0,4.66,4.68,2.8,"[0, 5000]",61.06463472072616
0.78,1,3,1,57.9,63.0,6.05,6.0,3.49,"[0, 5000]",126.68700434017182
0.9,1,3,2,63.4,59.0,6.08,6.04,3.84,"[0, 5000]",141.0170821878663
0.43,0,4,3,62.0,59.0,4.78,4.83,2.98,"[0, 5000]",68.8004543734512
0.38,3,0,2,58.5,59.0,4.76,4.82,2.8,"[0, 5000]",64.24096428287508
1.26,1,6,4,62.5,53.0,6.9,6.86,4.3,"[0, 5000]",203.53621580276524
0.4,4,1,2,62.6,56.0,4.67,4.72,2.94,"[0, 5000]",64.8046554393653
0.3,2,0,1,63.4,54.0,4.27,4.31,2.72,"[0, 5000]",50.05806363835048
0.7,2,2,4,62.6,57.0,5.59,5.62,3.51,"[0, 5000]",110.26945846494097
0.52,4,1,4,62.0,53.0,5.16,5.2,3.21,"[0, 5000]",86.13071531730654
0.8,2,3,4,62.5,57.0,5.94,5.9,3.7,"[0, 5000]",129.6702050162316
0.71,2,3,4,61.6,57.0,5.73,5.76,3.54,"[0, 5000]",116.8369957725677
1.3,1,2,2,61.1,58.0,6.98,7.02,4.28,"(5000, 10000]",209.71829828379057
0.25,7,2,3,61.1,58.0,4.08,4.1,2.5,"[0, 5000]",41.819998245239276
0.3,4,0,4,62.0,54.0,4.3,4.34,2.68,"[0, 5000]",50.014165222721275
1.3,6,2,3,59.3,59.0,7.11,7.08,4.22,"(10000, 15000]",212.4297271384505
0.9,3,4,1,64.1,56.0,6.0,6.05,3.86,"[0, 5000]",140.11800060939777
0.8,3,3,4,62.2,56.0,5.94,5.87,3.67,"[0, 5000]",127.96482739810747
0.34,2,3,3,59.7,59.0,4.5,4.54,2.7,"[0, 5000]",55.16100051069259
1.52,3,5,2,63.3,61.0,7.27,7.23,4.59,"(5000, 10000]",241.26004702384185
1.06,4,4,3,60.0,58.0,6.65,6.61,3.98,"(5000, 10000]",174.94687688103684
1.02,3,1,2,63.2,60.0,6.34,6.29,3.99,"(5000, 10000]",159.11561724483678
0.41,5,1,4,60.0,57.0,4.81,4.85,2.9,"[0, 5000]",67.65265008969301
1.0,1,2,2,61.7,58.0,6.32,6.36,3.91,"[0, 5000]",157.16324301808956
1.0,1,1,3,58.5,59.0,6.62,6.51,3.84,"[0, 5000]",165.48940725854285
0.32,2,3,2,61.0,61.0,4.38,4.41,2.68,"[0, 5000]",51.76634485088533
0.7,4,5,1,64.4,60.0,5.51,5.58,3.57,"[0, 5000]",109.76250700620449
0.73,7,4,4,62.3,55.0,5.77,5.79,3.6,"[0, 5000]",120.2698756239796
0.38,3,0,4,60.7,56.0,4.69,4.74,2.86,"[0, 5000]",63.57951137353711
0.75,2,0,1,63.6,58.0,5.65,5.77,3.63,"[0, 5000]",118.33982033712391
1.07,3,1,3,59.3,56.0,6.71,6.69,3.97,"(5000, 10000]",178.2129068217459
0.72,5,5,4,61.2,59.0,5.75,5.79,3.53,"[0, 5000]",117.52252327320576
0.54,2,0,1,63.2,55.0,5.17,5.21,3.28,"[0, 5000]",88.34909718001651
0.71,4,2,4,61.9,56.0,5.7,5.74,3.54,"[0, 5000]",115.82171025787378
0.51,4,3,4,62.5,57.0,5.07,5.14,3.19,"[0, 5000]",83.13076414644807
2.03,1,5,1,63.8,63.0,7.89,7.84,5.02,"(5000, 10000]",310.5251516091308
0.5,3,1,3,58.1,61.0,5.23,5.17,3.02,"[0, 5000]",81.65808298710441
1.64,1,2,4,61.4,57.0,7.59,7.55,4.65,"(10000, 15000]",266.46594255366364
0.37,2,4,4,60.9,57.0,4.63,4.67,2.83,"[0, 5000]",61.1905438624992
1.0,2,0,2,60.5,58.0,6.42,6.48,3.9,"(5000, 10000]",162.24624637310035
1.0,0,0,1,57.8,62.0,6.51,6.47,3.75,"[0, 5000]",157.94887543129903
0.51,3,3,3,62.2,57.0,5.15,5.1,3.19,"[0, 5000]",83.78535148768422
0.75,3,1,4,61.9,57.0,5.81,5.83,3.6,"[0, 5000]",121.94027397297869
1.51,1,4,0,65.5,56.0,7.18,7.13,4.69,"(5000, 10000]",240.09704704271115
0.53,3,2,3,61.4,60.0,5.21,5.18,3.19,"[0, 5000]",86.09108132160753
2.01,3,4,1,57.8,60.0,8.29,8.35,4.81,15000+,332.95542471806505
0.41,3,3,4,62.4,54.0,4.81,4.78,2.99,"[0, 5000]",68.74548441890332
0.33,4,5,1,63.2,57.0,4.37,4.4,2.77,"[0, 5000]",53.26155939286229
0.32,3,3,2,62.8,58.0,4.31,4.35,2.72,"[0, 5000]",50.99591874135494
0.9,4,4,2,63.6,55.0,6.15,6.11,3.9,"[0, 5000]",146.548359058428
1.02,4,0,4,60.5,56.0,6.55,6.48,3.94,"(5000, 10000]",167.22936779058466
0.32,5,1,4,61.3,57.0,4.39,4.42,2.7,"[0, 5000]",52.390260236196475
0.3,6,4,2,63.0,58.0,4.22,4.25,2.67,"[0, 5000]",47.886448987531594
1.01,2,4,3,61.8,61.0,6.47,6.4,3.98,"[0, 5000]",164.80383790132512
0.24,6,1,2,60.7,60.0,4.01,4.06,2.45,"[0, 5000]",39.88747249084473
2.01,2,6,4,62.8,58.0,8.02,7.97,5.02,"(5000, 10000]",320.8753966487155
1.21,4,5,2,59.4,60.0,6.9,6.97,4.12,"(5000, 10000]",198.14315127037048
0.4,1,2,3,59.6,58.0,4.85,4.81,2.88,"[0, 5000]",67.18608054937356
0.55,3,4,4,62.5,54.0,5.24,5.29,3.29,"[0, 5000]",91.19747830146035
0.5,4,3,4,62.0,55.0,5.05,5.11,3.15,"[0, 5000]",81.2873326550486
0.9,3,2,1,64.5,60.0,6.03,6.07,3.9,"[0, 5000]",142.74820249440228
0.35,3,0,4,61.6,56.0,4.53,4.56,2.8,"[0, 5000]",57.839040968055656
0.59,1,0,4,60.2,57.0,5.47,5.42,3.28,"[0, 5000]",97.24346879072759
1.0,2,6,4,62.7,58.0,6.35,6.41,4.0,"[0, 5000]",162.8139936790467
1.03,2,0,4,61.3,56.0,6.48,6.54,3.99,"(5000, 10000]",169.09300791557692
0.53,2,3,4,63.0,54.0,5.18,5.14,3.25,"[0, 5000]",86.53189488468178
0.36,3,2,3,60.5,60.0,4.55,4.61,2.77,"[0, 5000]",58.102138718299905
0.71,3,5,2,63.4,56.0,5.65,5.61,3.57,"[0, 5000]",113.1565074870729
1.52,1,0,3,59.1,58.0,7.48,7.45,4.41,"(5000, 10000]",245.75164583180447
0.35,6,1,4,62.2,56.0,4.51,4.53,2.81,"[0, 5000]",57.40914740339663
0.33,4,4,3,62.4,60.0,4.42,4.39,2.75,"[0, 5000]",53.36044929819104
0.9,2,1,2,61.3,57.0,6.24,6.29,3.84,"[0, 5000]",150.71845418879718
1.2,2,5,2,63.3,57.0,6.7,6.66,4.23,"[0, 5000]",188.75105115325937
0.9,1,0,4,62.7,57.0,6.1,6.15,3.84,"[0, 5000]",144.05759676175114
0.36,4,1,4,61.7,56.0,4.56,4.58,2.82,"[0, 5000]",58.895132885673576
0.3,4,3,2,63.4,58.0,4.25,4.23,2.69,"[0, 5000]",48.35947624673844
0.7,2,4,1,64.2,60.0,5.52,5.6,3.57,"[0, 5000]",110.35583567573552
0.41,4,4,2,63.5,56.0,4.7,4.69,2.98,"[0, 5000]",65.68813855611796
2.21,1,3,3,62.4,60.0,8.34,8.29,5.19,15000+,358.82934287007527
1.43,4,4,4,62.0,55.0,7.21,7.28,4.49,"(10000, 15000]",235.67470802528916
1.07,3,2,4,62.4,55.0,6.53,6.57,4.09,"(5000, 10000]",175.46960576884513
0.7,2,5,0,65.0,56.0,5.6,5.5,3.61,"[0, 5000]",111.18799487543112
1.0,4,3,3,59.1,61.0,6.54,6.48,3.85,"(5000, 10000]",163.1599154869652
0.74,3,4,3,60.2,58.0,5.92,5.88,3.55,"[0, 5000]",123.57408233779906
0.37,2,2,3,62.4,59.0,4.6,4.56,2.86,"[0, 5000]",59.991355802993866
0.85,2,5,4,61.4,56.0,6.06,6.12,3.74,"[0, 5000]",138.70612445024872
1.51,2,2,4,61.7,56.0,7.35,7.41,4.55,"(10000, 15000]",247.80892706980677
0.44,2,2,3,60.9,58.0,4.96,4.92,3.01,"[0, 5000]",73.45363347123718
0.39,2,1,4,62.1,53.0,4.69,4.72,2.92,"[0, 5000]",64.63945560425559
0.51,5,3,4,61.5,57.0,5.18,5.13,3.17,"[0, 5000]",84.2376791150035
0.9,1,0,4,60.8,56.0,6.26,6.24,3.8,"[0, 5000]",148.4371181199644
0.51,1,1,2,58.3,63.0,5.21,5.26,3.05,"[0, 5000]",83.5840329422855
0.7,4,3,4,61.2,57.0,5.7,5.74,3.5,"[0, 5000]",114.51299160194412
0.34,4,1,4,62.1,56.0,4.48,4.5,2.79,"[0, 5000]",56.24639947042465
0.42,2,1,3,62.5,55.0,4.83,4.8,3.01,"[0, 5000]",69.78384144956584
0.34,4,0,4,60.9,56.0,4.51,4.56,2.76,"[0, 5000]",56.76105797222896
0.76,1,1,4,61.6,55.0,5.87,5.92,3.63,"[0, 5000]",126.14395514325709
1.05,4,3,2,62.3,56.0,6.45,6.51,4.04,"(5000, 10000]",169.6375793460272
1.14,3,4,3,61.3,59.0,6.76,6.72,4.13,"(5000, 10000]",187.61434169342786
1.28,4,5,2,62.8,57.0,6.9,6.95,4.35,"(5000, 10000]",208.60424258494376
0.52,3,3,2,63.3,57.0,5.11,5.09,3.23,"[0, 5000]",84.01198220967875
1.71,3,5,4,60.5,56.0,7.73,7.71,4.67,"(10000, 15000]",278.32406761081506
0.55,1,0,2,63.3,56.0,5.22,5.24,3.31,"[0, 5000]",90.53775884119445
0.62,2,3,3,59.9,58.0,5.56,5.49,3.31,"[0, 5000]",101.03575700132573
0.31,4,1,4,61.4,56.0,4.38,4.35,2.68,"[0, 5000]",51.06204148661611
0.32,1,0,4,62.4,54.0,4.38,4.4,2.74,"[0, 5000]",52.80528270801548
1.58,1,4,3,62.4,57.0,7.45,7.36,4.62,"(5000, 10000]",253.3238318348121
1.63,2,5,4,61.3,56.0,7.64,7.56,4.66,"(5000, 10000]",269.1541284459231
0.34,2,0,2,60.2,60.0,4.5,4.54,2.72,"[0, 5000]",55.56960011758804
1.02,3,2,2,61.8,57.0,6.4,6.44,3.97,"(5000, 10000]",163.62752507129673
1.51,2,2,3,61.4,58.0,7.43,7.35,4.54,"(10000, 15000]",247.93165897165312
0.43,1,6,1,63.7,57.0,4.76,4.79,3.04,"[0, 5000]",69.31321791111749
1.66,3,6,1,64.4,54.0,7.45,7.54,4.83,"(5000, 10000]",271.3155773954584
0.37,4,3,4,61.9,54.0,4.62,4.68,2.88,"[0, 5000]",62.27020664785757
0.71,2,6,2,59.1,61.0,5.82,5.85,3.45,"[0, 5000]",117.46215317316052
0.78,3,5,4,62.0,56.0,5.93,5.87,3.66,"[0, 5000]",127.4013028158788
1.01,5,0,2,62.5,59.0,6.34,6.4,3.98,"(10000, 15000]",161.4924870670701
1.7,3,3,4,61.3,57.0,7.67,7.6,4.68,15000+,272.8065492838669
0.82,1,1,3,62.0,59.0,6.02,5.94,3.71,"[0, 5000]",132.6651502217331
0.7,3,5,1,57.5,62.0,5.81,5.78,3.33,"[0, 5000]",111.8273943957919
1.52,5,6,1,57.9,62.0,7.61,7.63,4.41,"(5000, 10000]",256.0635624732721
1.07,3,3,4,62.4,55.0,6.53,6.58,4.09,"(5000, 10000]",175.73667616507348
0.51,4,4,1,59.4,61.9,5.18,5.2,3.08,"[0, 5000]",82.96287215255762
0.4,4,1,3,62.5,58.0,4.69,4.72,2.94,"[0, 5000]",65.08219116775123
1.01,7,0,1,63.4,59.0,6.26,6.39,4.01,15000+,160.40562566888048
0.71,3,0,3,62.1,60.0,5.72,5.68,3.54,"[0, 5000]",115.01317506602498
0.34,2,0,3,62.0,58.0,4.43,4.47,2.76,"[0, 5000]",54.653791128047104
0.44,1,4,4,62.3,54.0,4.89,4.93,3.06,"[0, 5000]",73.76955603773705
0.3,4,4,1,63.3,56.0,4.26,4.3,2.71,"[0, 5000]",49.64178556789417
1.32,2,3,4,62.1,57.0,7.02,7.05,4.37,"(5000, 10000]",216.27566959982857
1.39,3,6,4,60.3,57.0,7.24,7.26,4.37,"(5000, 10000]",229.6976819647062
0.91,1,1,2,62.8,59.0,6.1,6.16,3.85,"[0, 5000]",144.66759057121297
2.2,1,4,4,60.0,58.0,8.47,8.5,5.09,15000+,366.45457253856694
0.75,3,4,3,60.8,57.0,5.9,5.87,3.58,"[0, 5000]",123.98613694459912
0.5,4,3,1,59.8,63.0,5.12,5.15,3.07,"[0, 5000]",80.94975792940137
0.31,6,3,4,62.8,57.0,4.33,4.3,2.71,"[0, 5000]",50.45749205934523
1.05,1,6,3,60.9,60.0,6.59,6.51,3.99,"[0, 5000]",171.17460139083212
1.0,4,4,2,63.3,53.0,6.37,6.29,4.01,"[0, 5000]",160.66987830973034
1.1,1,4,4,62.0,56.5,6.58,6.63,4.09,"(5000, 10000]",178.42789366772462
0.75,2,1,4,61.4,57.0,5.82,5.87,3.59,"[0, 5000]",122.6466042940978
0.56,2,2,2,63.9,59.0,5.16,5.22,3.32,"[0, 5000]",89.42485596320367
0.92,2,4,3,60.7,59.0,6.34,6.25,3.82,"[0, 5000]",151.3675009977817
0.41,5,2,4,60.1,57.0,4.83,4.85,2.91,"[0, 5000]",68.16820459343428
0.76,2,5,1,64.1,59.0,5.75,5.73,3.68,"[0, 5000]",121.2468026030779
1.02,0,1,1,63.1,60.0,6.31,6.4,4.01,"[0, 5000]",161.9398501877499
0.7,5,3,0,65.3,61.0,5.58,5.48,3.61,"[0, 5000]",110.38801966710284
0.3,5,4,4,62.1,55.0,4.33,4.36,2.7,"[0, 5000]",50.97276156299589
0.32,2,0,4,62.7,54.0,4.39,4.35,2.74,"[0, 5000]",52.32440744362357
0.31,3,3,3,59.9,59.0,4.38,4.4,2.63,"[0, 5000]",50.6853646283914
0.4,5,3,3,58.9,58.0,4.84,4.8,2.84,"[0, 5000]",65.97888270782465
0.46,7,6,4,61.8,56.0,4.98,4.95,3.07,"[0, 5000]",75.67856572814947
0.35,5,1,4,61.0,57.0,4.54,4.58,2.78,"[0, 5000]",57.80509395647814
0.27,5,0,2,61.6,59.0,4.15,4.16,2.56,"[0, 5000]",44.195838406677225
0.51,5,3,2,62.9,57.0,5.09,5.12,3.21,"[0, 5000]",83.65516963211437
1.0,5,4,0,65.3,58.0,6.25,6.18,4.06,"[0, 5000]",156.8174934339524
1.51,1,5,1,63.6,60.0,7.23,7.27,4.61,"(5000, 10000]",242.31128802131462
1.05,3,4,4,61.7,57.0,6.55,6.52,4.03,"(5000, 10000]",172.1051934682753
1.01,2,4,2,62.3,63.0,6.3,6.23,3.9,"[0, 5000]",153.071108845997
0.32,3,4,4,63.0,57.0,4.38,4.35,2.75,"[0, 5000]",52.39575022029874
2.06,2,3,3,59.3,61.0,8.44,8.36,4.98,"(10000, 15000]",351.38080144570984
1.54,2,1,1,63.8,57.0,7.31,7.34,4.67,"(10000, 15000]",250.57072534119035
0.79,3,1,3,60.6,53.0,6.04,5.98,3.64,"[0, 5000]",131.4738913780441
1.51,3,5,4,62.6,56.0,7.32,7.27,4.57,"(5000, 10000]",243.1989622004072
0.23,7,1,2,59.9,58.0,3.98,4.03,2.4,"[0, 5000]",38.494563718204596
0.31,2,6,3,61.9,59.0,4.32,4.28,2.66,"[0, 5000]",49.182341952255484
0.46,6,6,4,62.5,56.0,4.89,4.93,3.07,"[0, 5000]",74.01063279285162
0.4,5,4,4,62.1,57.0,4.74,4.69,2.93,"[0, 5000]",65.13565713351622
0.46,6,2,3,61.4,57.0,4.99,4.95,3.05,"[0, 5000]",75.33651746375584
0.3,7,3,1,63.8,55.0,4.24,4.28,2.72,"[0, 5000]",49.36038427432238
0.32,4,3,3,61.7,58.0,4.38,4.41,2.71,"[0, 5000]",52.345818293346355
0.42,2,2,4,60.9,55.0,4.88,4.84,2.96,"[0, 5000]",69.912836744629
2.07,2,5,3,62.9,59.0,8.15,8.09,5.11,15000+,336.9201843879027
0.51,3,4,1,64.1,54.0,5.02,5.0,3.21,"[0, 5000]",80.57100065135955
0.7,2,1,2,60.3,60.0,5.77,5.81,3.49,"[0, 5000]",116.9977117806902
0.72,2,2,4,60.2,57.0,5.83,5.86,3.52,"[0, 5000]",120.25657651457591
0.46,4,2,3,60.5,58.0,4.97,5.02,3.02,"[0, 5000]",75.3471840570679
1.63,3,1,4,61.3,55.0,7.6,7.63,4.67,15000+,270.80396508772844
0.3,7,2,4,62.6,57.0,4.25,4.28,2.67,"[0, 5000]",48.56730376858718
1.52,4,1,3,62.4,55.0,7.41,7.33,4.6,15000+,249.85036707457564
0.7,0,3,2,61.5,63.0,5.73,5.65,3.5,"[0, 5000]",113.31075228977204
1.37,3,6,4,63.0,57.0,7.11,7.05,4.46,"(5000, 10000]",223.55974215854664
0.71,5,1,4,62.0,57.0,5.7,5.72,3.54,"[0, 5000]",115.41815066059135
0.31,4,3,4,61.9,56.0,4.34,4.38,2.7,"[0, 5000]",51.32484405195247
0.54,4,0,2,63.0,54.0,5.19,5.23,3.28,"[0, 5000]",89.03133652968693
1.1,1,4,4,62.0,55.0,6.6,6.62,4.1,"[0, 5000]",179.1371901479723
2.07,2,5,1,63.6,58.0,8.09,7.99,5.11,"(10000, 15000]",330.3058063982942
1.51,1,4,3,60.7,59.0,7.42,7.37,4.49,"(5000, 10000]",245.53743219548036
0.31,3,0,2,62.9,55.0,4.31,4.34,2.72,"[0, 5000]",50.87868964850806
1.34,3,3,4,61.9,56.0,7.1,7.05,4.38,"(5000, 10000]",219.24090871496202
1.04,1,1,2,60.9,59.0,6.58,6.62,4.02,"[0, 5000]",175.10958611165626
0.3,3,2,4,61.6,57.0,4.28,4.32,2.65,"[0, 5000]",48.99744611217524
0.5,3,3,3,59.4,60.0,5.14,5.16,3.06,"[0, 5000]",81.15853797427383
0.59,3,4,3,60.7,56.0,5.46,5.41,3.3,"[0, 5000]",97.4773765231991
0.81,3,6,4,62.1,56.0,5.94,5.97,3.7,"[0, 5000]",131.20865834372512
0.31,5,4,2,62.6,58.0,4.28,4.31,2.69,"[0, 5000]",49.6218948292408
1.01,1,2,3,61.6,58.0,6.4,6.39,3.94,"[0, 5000]",161.1302413744163
0.34,4,4,4,62.7,57.0,4.45,4.48,2.8,"[0, 5000]",55.82079689445498
0.32,4,2,2,61.3,55.0,4.41,4.44,2.71,"[0, 5000]",53.06288359478184
0.53,3,1,4,60.0,57.0,5.3,5.24,3.16,"[0, 5000]",87.75952170864089
0.51,3,1,3,61.0,60.0,5.12,5.17,3.14,"[0, 5000]",83.11705814560695
0.34,1,1,4,62.4,54.0,4.49,4.52,2.81,"[0, 5000]",57.02838369100006
1.01,3,6,0,59.6,62.0,6.54,6.49,3.88,"[0, 5000]",164.68504608888992
0.32,2,2,4,61.3,55.0,4.44,4.47,2.73,"[0, 5000]",54.181762533685635
0.7,1,2,3,59.5,61.0,5.78,5.68,3.41,"[0, 5000]",111.95166749818029
0.5,3,2,1,63.8,55.0,5.03,5.06,3.22,"[0, 5000]",81.95479921985434
1.73,4,5,4,61.4,57.0,7.7,7.65,4.71,"(10000, 15000]",277.4425488332747
1.01,2,1,4,61.6,59.0,6.43,6.4,3.95,"(5000, 10000]",162.5504000448703
0.78,3,1,4,61.4,56.0,5.91,5.95,3.64,"[0, 5000]",127.99877628098955
0.8,2,6,3,61.4,57.0,5.98,5.95,3.66,"[0, 5000]",130.22645929472912
0.31,7,2,4,62.1,55.0,4.32,4.38,2.7,"[0, 5000]",51.08832426715862
0.58,3,3,4,61.1,55.0,5.42,5.38,3.3,"[0, 5000]",96.22668201097487
1.04,4,3,4,61.8,56.0,6.5,6.52,4.02,"(5000, 10000]",170.36759869327545
0.56,5,2,4,62.2,54.3,5.26,5.29,3.28,"[0, 5000]",91.26731451714129
0.35,4,3,4,61.1,56.0,4.55,4.58,2.79,"[0, 5000]",58.140810673789915
0.33,3,0,4,60.9,55.0,4.47,4.5,2.73,"[0, 5000]",54.913947806167585
0.71,3,2,2,61.3,61.0,5.68,5.73,3.5,"[0, 5000]",113.91239693651198
0.6,2,2,2,60.0,61.0,5.48,5.52,3.3,"[0, 5000]",99.82367856010437
0.7,3,2,2,62.4,59.0,5.64,5.71,3.54,"[0, 5000]",114.00357283434677
2.03,1,6,4,63.2,55.0,7.99,8.03,5.06,"(10000, 15000]",324.64805823305755
0.3,1,0,3,62.4,59.0,4.28,4.25,2.66,"[0, 5000]",48.38540393314369
0.4,6,1,4,62.4,57.0,4.67,4.72,2.93,"[0, 5000]",64.58423165577499
0.58,3,2,3,62.2,55.0,5.4,5.31,3.33,"[0, 5000]",95.48441846972462
0.9,1,5,1,62.2,59.0,6.07,6.11,3.79,"[0, 5000]",140.5623886319008
0.53,2,1,1,64.1,54.0,5.11,5.16,3.29,"[0, 5000]",86.74940269545739
0.9,3,5,2,63.4,56.0,6.09,6.12,3.87,"[0, 5000]",144.23799265147008
1.5,5,6,3,61.5,60.0,7.31,7.27,4.48,"(5000, 10000]",238.08377452535439
1.51,1,5,2,63.5,60.0,7.28,7.21,4.6,"(5000, 10000]",241.44848323024738
0.51,6,3,2,62.9,57.0,5.08,5.12,3.21,"[0, 5000]",83.49081387211608
0.9,3,3,1,60.4,61.0,6.23,6.32,3.79,"[0, 5000]",149.22594700809665
0.3,6,1,4,62.5,54.0,4.32,4.29,2.69,"[0, 5000]",49.85323459814645
1.79,3,3,3,61.2,58.0,7.9,7.82,4.81,15000+,297.15218657516476
0.41,5,1,4,62.3,56.0,4.78,4.75,2.97,"[0, 5000]",67.43385360946658
0.42,2,4,4,62.9,57.0,4.84,4.76,3.02,"[0, 5000]",69.57597309957893
0.32,3,3,4,61.6,54.0,4.4,4.43,2.72,"[0, 5000]",53.01823965236658
1.25,4,3,3,60.7,56.0,7.01,6.93,4.23,"(5000, 10000]",205.49044154584107
0.31,5,1,4,61.3,55.0,4.34,4.37,2.67,"[0, 5000]",50.638687901237454
1.5,5,6,3,61.8,60.0,7.36,7.33,4.54,"(5000, 10000]",244.92755183581917
0.41,3,3,2,61.4,59.2,4.76,4.78,2.93,"[0, 5000]",66.66571165065031
0.51,3,1,3,60.3,59.0,5.2,5.22,3.14,"[0, 5000]",85.2321562954711
0.38,5,1,4,61.6,55.0,4.72,4.67,2.89,"[0, 5000]",63.70253652141369
0.92,2,3,2,61.8,54.0,6.25,6.37,3.9,"[0, 5000]",155.26875100731843
0.33,7,3,4,61.6,55.0,4.48,4.51,2.77,"[0, 5000]",55.967298693235385
0.5,3,1,3,62.9,59.0,5.09,5.06,3.19,"[0, 5000]",82.15972900762367
0.49,4,2,1,58.9,60.5,5.17,5.21,3.05,"[0, 5000]",82.15388552947519
2.0,1,2,3,60.6,62.0,8.19,7.84,4.86,"(10000, 15000]",312.05865465801946
1.0,3,2,1,63.1,57.0,6.32,6.36,4.0,"(5000, 10000]",160.78080774230966
0.32,4,2,4,61.9,57.0,4.38,4.41,2.72,"[0, 5000]",52.53897610750003
0.32,4,4,4,61.8,55.0,4.42,4.41,2.73,"[0, 5000]",53.21370544909283
0.87,1,2,3,61.5,57.0,6.13,6.1,3.76,"[0, 5000]",140.59768007010456
0.57,3,6,3,60.2,62.0,5.4,5.33,3.23,"[0, 5000]",92.96586086009023
0.9,3,3,3,60.8,56.0,6.19,6.14,3.75,"[0, 5000]",142.52474821829793
1.21,2,3,3,59.5,62.0,6.65,6.57,3.84,"(5000, 10000]",167.771523039565
1.01,3,1,2,61.9,55.0,6.38,6.44,3.97,"(5000, 10000]",163.11618955071646
0.71,2,1,4,61.3,55.0,5.72,5.77,3.52,"[0, 5000]",116.17548272516636
0.41,4,2,4,62.0,56.0,4.81,4.77,2.97,"[0, 5000]",68.14278857330989
0.5,2,5,4,62.3,56.0,5.04,5.08,3.15,"[0, 5000]",80.65008062004085
1.01,3,4,2,62.2,56.0,6.35,6.44,3.98,"[0, 5000]",162.75811978174207
1.58,1,1,3,61.0,60.0,7.54,7.51,4.59,"(5000, 10000]",259.91060124666996
0.76,1,0,3,58.8,57.0,6.03,5.98,3.51,"[0, 5000]",126.56849846364211
0.39,3,1,2,63.1,56.0,4.69,4.63,2.94,"[0, 5000]",63.84122159940154
